"customer_id","gender","name_prefix","name_first","name_last","email","employment","address","city","county","state","postal_code","birth_dt","is_deleted","job_type","account_type","phone_number","ssn","allergies","blood_type","last_ipaddress"
"evoqdwj1jcv3asco","F","Miss","Melinda","Donovan","melindadonovan@nguyenarmstrong.com","Nguyen-Armstrong","8670 Marcus Road Backroad","Winthrop Harbor","LAKE","IL","42501","1971-04-12",0,"Diagnostic radiographer","Active","057-392-9853x46609","636-23-3661","L20.81 Atopic neurodermatitis","A+","28.220.251.218"
"skcgklpk5f4e7vw1","M","Mr.","Daniel","Patterson","quality_daniel@martinezcampbell.com","Martinez-Campbell","4371 Tina Common Alley","Louisville","JEFFERSON","KY","58068","1970-01-21",0,"Call centre manager","DNC","+1-995-541-7625","494-97-4551","T36.5X5A Adverse effect of aminoglycosides  initial encounter","B-","192.168.115.190"
"07a2d0wj22g74gki","F","Dr.","Margaret","Warren","treatment_margaret@smithinc.com","Smith Inc","2168 Laura Heights Highway","Charleston AFB","CHARLESTON","SC","88798","1986-06-08",0,"Furniture designer","Active","540-781-7240x220","275-29-2028","T36.0X5D Adverse effect of penicillins  subsequent encounter","B-","37.160.17.163"
"3w2he9ym041vcedo","F","Ms.","Barbara","Palmer","bpalmer@hortonfreemanandvasquez.com","Horton Freeman and Vasquez","9142 Ellison Fork Byway","Shreveport","CADDO","LA","04540","1983-04-05",0,"Adult nurse","Active","+1-995-384-7168","206-10-7614","T36.3X5D Adverse effect of macrolides  subsequent encounter","O-","97.160.2.44"
"9h5v0g661qdnixib","M","Mr.","Elijah","Dudley","edudley@manninc.com","Mann Inc","2974 Alan Isle Court","Yolo","YOLO","CA","50479","1982-11-21",0,"Agricultural consultant","Closed","001-268-388-3830x179","723-24-9806","T36.0X5D Adverse effect of penicillins  subsequent encounter","O+","59.92.175.171"
"4i4cig52kspfbevn","F","Miss","Michelle","Davis","least_michelle@huynhllc.com","Huynh LLC","4170 Jackson Roads Boulevard","Strong","UNION","AR","55899","2013-05-18",0,"Transport planner","DNC","(191)844-3324","351-53-6845","T36.0X5S Adverse effect of penicillins  sequela","O+","172.21.73.81"
"yb5nwfcy3924j0ja","F","Ms.","Diane","Odom","dianeodom@carrilloflynn.com","Carrillo-Flynn","5332 Karen Bridge Backroad","Manati","MANATI","PR","69907-5988","2017-03-27",0,"Claims inspector/assessor","Closed","286-268-8765x663","310-90-3603","J45.41 Moderate persistent asthma with (acute) exacerbation","B+","10.248.211.25"
"q9g17clgfms40qi9","F","Dr.","Kathryn","Fitzgerald","business_kathryn@hansenlee.org","Hansen-Lee","9769 Burns Glen Highway","Coyote Springs","CLARK","NV","77541","1971-11-29",0,"Barrister","Active","001-356-437-7267x20079","260-66-5691","L20.0 Besnier's prurigo","AB-","110.129.163.99"
"7wredvj0u9ryhe3e","F","Mrs.","Jill","Kelley","jkelley722@mooreinc.com","Moore Inc","1999 Heather Wall Road","Logandale","CLARK","NV","62387","1983-02-27",0,"Purchasing manager","Remarket","(890)735-4379","144-77-7406","J45.909 Unspecified asthma  uncomplicated","AB+","170.135.34.210"
"vycuo98oahpz6pjp","F","Ms.","Kathleen","Johnson","kathleenjohnson@morrisoninc.com","Morrison Inc","2761 Rebecca Drive Lane","Griffithville","WHITE","AR","82684-1911","1986-04-09",0,"Museum education officer","Remarket","411.614.6586","121-25-8926","T36.95XD Adverse effect of unspecified systemic antibiotic  subsequent encounter","O-","118.190.111.173"
