"customer_id","orderid","purchasedatetime","transactiontotal","numberofitems","productcode","productcategory","cc_number"
"evoqdwj1jcv3asco","zl5d7esnz3rzzhcu","2021-04-08 13:47:04","739.22","2","855350787","PR855","5963 9933 1360 8789"
"evoqdwj1jcv3asco","gz7ui6jmdd6j1jun","2018-11-06 03:05:06","1252.93","3","760089166","PR760","7330 8835 9200 6254"
"skcgklpk5f4e7vw1","ro38qubzdmao8imw","2022-03-27 09:32:49","1182.53","5","870973795","PR870","4130 2263 7194 3714"
"skcgklpk5f4e7vw1","4542gu65npiu71ws","2022-10-14 11:15:36","1050.29","2","833461812","PR833","3897 6365 1192 4623"
"07a2d0wj22g74gki","xlj86v0pz1htunt5","2020-06-19 19:44:50","1592.97","13","774902260","PR774","3660 1131 7756 6454"
"07a2d0wj22g74gki","7sk6lb6ag2ullhv9","2022-11-26 15:49:01","1636.56","15","722739295","PR722","7027 7463 9622 3506"
"07a2d0wj22g74gki","wn97wfyxb5lktxwv","2019-06-09 15:52:28","1071.15","8","716142940","PR716","2150 5992 6310 7369"
"07a2d0wj22g74gki","mglyh3y3eizvgctk","2018-10-09 19:35:14","1210.36","13","779754792","PR779","2957 4062 9750 3926"
"07a2d0wj22g74gki","7ubq7y5ufr1dsi4e","2020-12-12 04:17:17","1319.7","6","711030380","PR711","7631 1172 2553 7329"
"3w2he9ym041vcedo","ybz66p8y5e65qds6","2023-02-02 08:43:58","1149.29","1","704721168","PR704","3153 2175 9938 1485"
"3w2he9ym041vcedo","i0c6k6i9ecykrz2w","2022-09-10 20:19:58","1135.02","14","707038270","PR707","8231 1875 1900 6628"
"3w2he9ym041vcedo","uwibatj4fr54o8x5","2021-06-19 07:25:58","826.52","8","821611174","PR821","9141 7119 9355 1371"
"9h5v0g661qdnixib","g7rg4cs4ctdcdeai","2021-03-12 12:53:56","1291.44","4","789288510","PR789","9607 7140 1442 1544"
"9h5v0g661qdnixib","vsbo08mkdqt8lxhf","2019-10-07 07:38:16","1097.82","7","747133886","PR747","3716 9454 1615 3826"
"9h5v0g661qdnixib","v50g9etne5ef3w82","2021-03-31 17:29:38","1528.18","14","729601677","PR729","7710 6523 5246 4221"
"9h5v0g661qdnixib","x9nrswek3p2e48y4","2020-12-05 07:38:31","962.36","10","728190726","PR728","4510 3328 7912 7654"
"9h5v0g661qdnixib","zazv1otm2vfsn7v5","2019-08-20 11:30:28","1394.81","10","746725074","PR746","8598 5988 4389 1555"
"9h5v0g661qdnixib","m83ytfjk9kawnkp9","2022-08-20 07:31:08","732.29","14","709097660","PR709","4925 4718 4315 8457"
"9h5v0g661qdnixib","1wyxmminmel0r7jo","2018-11-28 09:12:52","877.86","11","727056218","PR727","2621 2184 9219 1534"
"9h5v0g661qdnixib","58fjo4my1gb74oc5","2021-06-19 20:12:42","575.55","6","892715142","PR892","7220 7572 1371 3645"
"9h5v0g661qdnixib","iwy64kdw7kwitzip","2019-03-21 11:42:03","1382.91","14","709633591","PR709","9271 5742 9818 9861"
"4i4cig52kspfbevn","4ohz1he1g2nficaw","2018-12-21 21:43:03","1523.44","11","783937027","PR783","5765 8251 5639 6811"
"4i4cig52kspfbevn","lyupec8rxpww2fz3","2020-10-19 18:51:25","1482.3","10","784174936","PR784","1351 7215 9048 4801"
"4i4cig52kspfbevn","acak76dyy63f0qhc","2018-11-05 23:36:30","1623.37","8","862565362","PR862","7476 6889 7884 7125"
"4i4cig52kspfbevn","jmlrxu1if8zrjhjs","2018-06-11 04:52:05","580.39","4","861770543","PR861","1237 8499 1930 1978"
"4i4cig52kspfbevn","ahwpa3e2gmilxwkp","2019-06-13 19:42:20","813.59","8","735479411","PR735","6294 9886 7288 3883"
"4i4cig52kspfbevn","0byv1gk50uc8kaq9","2020-08-11 01:22:30","476.62","9","890860161","PR890","7244 5934 1666 6358"
"yb5nwfcy3924j0ja","upq4pmck51ce30pv","2021-12-15 11:49:33","1470.2","7","755881299","PR755","6962 5173 2185 6038"
"yb5nwfcy3924j0ja","h0685wuf8nqstivs","2021-04-20 01:06:03","1356.53","11","717747780","PR717","1160 3730 5755 7515"
"yb5nwfcy3924j0ja","v8bztloogs0v7nbl","2022-06-29 02:02:20","610.8","11","844769707","PR844","8059 1325 3730 6612"
"q9g17clgfms40qi9","aigyat6oo2jmgrqf","2021-07-08 16:53:53","944.13","3","750463940","PR750","5687 7328 3734 1792"
"q9g17clgfms40qi9","mvbs8a1x3izihyhd","2021-06-29 09:55:05","472.65","7","862789505","PR862","1434 5057 6985 6926"
"q9g17clgfms40qi9","yd28qi7zkexaom8z","2018-05-10 05:34:43","834.27","1","857684603","PR857","8797 8105 5111 5595"
"7wredvj0u9ryhe3e","hcjbp3g4a93jstzq","2021-11-10 09:27:03","1570.51","14","833778688","PR833","5306 6955 5106 4986"
"7wredvj0u9ryhe3e","242d4w344jk49pfj","2022-05-24 13:24:47","726.84","1","720064993","PR720","3203 4065 8473 7984"
"7wredvj0u9ryhe3e","88wjt76iwulicyli","2018-06-15 01:34:28","1198.77","9","808793224","PR808","2229 6680 6480 7674"
"7wredvj0u9ryhe3e","2aboxwrpuxcyq0va","2020-05-18 02:10:26","693.44","7","813656859","PR813","7129 3656 6035 8030"
"7wredvj0u9ryhe3e","lyrum0bf74aylq13","2019-05-28 04:12:06","882.75","10","786337886","PR786","2637 1149 9550 6671"
"7wredvj0u9ryhe3e","i5mn92lhkq770i9c","2022-11-02 19:39:34","778.21","1","809245604","PR809","4426 9504 9282 3370"
"vycuo98oahpz6pjp","2xwd5mn06tgcg2v8","2019-04-08 13:41:45","1711.93","8","755398052","PR755","1542 6636 1669 4992"
"vycuo98oahpz6pjp","9o1pv1xtzx6f6e5x","2019-05-24 16:28:50","1488.86","15","737389678","PR737","8766 6819 9855 7288"
"vycuo98oahpz6pjp","xsqjntm0sd136ex8","2018-08-31 22:06:42","558.07","9","741158628","PR741","9292 1025 2347 9594"
"vycuo98oahpz6pjp","wqvfxv88ayeq8xr0","2019-11-16 01:58:15","976.49","5","898771888","PR898","9443 4961 1732 4174"
"wc1f74ev2a7weazo","xserbxydjfissyq1","2021-12-01 23:28:15","905.24","1","842702656","PR842","1490 4468 7967 1095"
"wc1f74ev2a7weazo","y8tlig0yjrmkn1y0","2022-07-31 08:57:54","1602.07","2","706942576","PR706","2412 2685 9221 3814"
"wc1f74ev2a7weazo","onlolynofh6uk9h8","2022-01-25 15:52:16","1156.1","12","829727154","PR829","6016 4059 8292 1772"
"wc1f74ev2a7weazo","llehsfd213xkpyqo","2021-05-11 20:35:10","672.05","11","888786841","PR888","6029 7082 3131 4260"
"6s6fgl4ttvyj0c9x","tpkd323bf4racxrs","2021-04-24 10:00:43","863.09","1","820143828","PR820","4419 5362 7342 9541"
"6s6fgl4ttvyj0c9x","smxojd8ofku39nw9","2018-08-30 08:39:15","1076.18","14","763084704","PR763","4695 5135 6900 9228"
"6s6fgl4ttvyj0c9x","lc24jkm0stf5modd","2018-05-10 16:00:18","1212.46","11","727880387","PR727","9942 1991 7233 3447"
"6s6fgl4ttvyj0c9x","sjni4irjlryd5pz9","2019-05-31 17:16:53","366.78","11","863162401","PR863","2769 2921 5595 7858"
"6s6fgl4ttvyj0c9x","wbpplhveloxhd7zg","2018-06-21 06:38:31","411.03","1","751169063","PR751","4355 6730 4193 7080"
"atsuly2tqhh512hq","42ftj47qz6p0p11a","2021-10-08 05:10:17","978.71","13","742568397","PR742","2253 5147 7387 1494"
"atsuly2tqhh512hq","s473a3x6297v5y2w","2020-09-25 11:03:07","240.19","7","784229095","PR784","5485 8055 8871 1297"
"atsuly2tqhh512hq","3s6uwp5vy43h38gm","2020-08-23 02:15:29","1103.46","1","784410383","PR784","4156 9060 8792 5721"
"atsuly2tqhh512hq","wsede1yi3vwsyhqw","2019-06-24 14:28:24","538.67","9","721445811","PR721","1631 6056 7279 5399"
